make,model,engine,trim,mileage,year,transmission,fuel,price,url
Vauxhall,Corsa,1.4i,Energy (90 ps),9158,2019,Manual,Petrol,10489,www.cazoo.co.uk/car-details/92e3c98e-bb61-58ef-8631-4a8624758739/
Vauxhall,Corsa,1.2,Elite (75 ps),43640,2021,Manual,Petrol,10940,www.cazoo.co.uk/car-details/50d86931-24fa-5886-bc00-356464b76a39/
Vauxhall,Corsa,1.2,Turbo Elite Nav Premium (100 ps),40678,2020,Manual,Petrol,11618,www.cazoo.co.uk/car-details/1892306e-c0c6-5d49-b5f8-f91e6328a200/
Vauxhall,Corsa,1.2,Elite Edition (75 ps),15198,2021,Manual,Petrol,13333,www.cazoo.co.uk/car-details/c15a23cd-0592-52a1-8f8d-41b6c5166a16/
Vauxhall,Corsa,1.2,Elite Edition (75 ps),13707,2021,Manual,Petrol,13371,www.cazoo.co.uk/car-details/8fc070bd-0fa5-5a8c-8e8f-2d838e8f9b32/
Vauxhall,Corsa,1.2,Elite Edition (75 ps),13404,2021,Manual,Petrol,13391,www.cazoo.co.uk/car-details/46feda93-7d14-552d-a85b-9b0bc5ae72dc/
Vauxhall,Corsa,1.2,Elite Edition (75 ps),12407,2021,Manual,Petrol,13456,www.cazoo.co.uk/car-details/91da0b36-cf4a-5443-b3bb-99cb1b1dcb26/
Vauxhall,Corsa,1.2,Elite Edition (75 ps),9131,2021,Manual,Petrol,13604,www.cazoo.co.uk/car-details/0ef50292-acbf-5052-8713-0a26d5c74c0a/
Vauxhall,Corsa,1.2,Turbo Elite Nav (100 ps),28129,2021,Automatic,Petrol,13650,www.cazoo.co.uk/car-details/1d16593e-5055-53f8-8022-2c45e8bb1df4/
Vauxhall,Corsa,1.2,Turbo SRi Premium (130 ps),13382,2021,Automatic,Petrol,14572,www.cazoo.co.uk/car-details/182fdfa0-919c-5eba-91b2-a13ec440514a/
Volkswagen,Golf,1.4,TSI BlueMotion Tech SE (125 ps),73174,2017,Manual,Petrol,10122,www.cazoo.co.uk/car-details/f213b301-e1d0-5044-a86d-41f308b39dfe/
Volkswagen,Golf,1.4,TSI BlueMotion Tech Match Edition DSG (125 ps),75559,2017,Automatic,Petrol,10352,www.cazoo.co.uk/car-details/49ffd076-ee60-5058-b901-66d1c3386b8b/
Volkswagen,Golf,2.0,TDI BlueMotion Tech Match DSG Euro 5 (150 ps),35606,2014,Automatic,Diesel,10595,www.cazoo.co.uk/car-details/8e3d2a87-0434-5049-8579-6635c118dc4d/
Volkswagen,Golf,2.0,TDI BlueMotion Tech GT Edition (150 ps),74414,2016,Manual,Diesel,10854,www.cazoo.co.uk/car-details/84724d38-28ca-5363-a24f-7ffd0f57fd1c/
Volkswagen,Golf,2.0,TDI BlueMotion Tech GT Edition (150 ps),67407,2016,Manual,Diesel,11098,www.cazoo.co.uk/car-details/59dec5cd-30b6-5c7e-9082-2b636075a3ea/
