name,link,price,year,mileage,miles_pa,owners,distance,location,engine,transmission,fuel
Citroen Berlingo,https://www.autotrader.co.uk/motorhome-details/202403278024017?sort=relevance&make=Citroen&model=Berlingo&page=2&postcode=E1%206AN&advertising-location=at_motorhomes&fromsra,7499,2010,72000,5142,-1,-1,,1.6L,Manual,
Citroen Berlingo,https://www.autotrader.co.uk/motorhome-details/202310203191727?sort=relevance&make=Citroen&model=Berlingo&page=1&postcode=E1%206AN&advertising-location=at_motorhomes&fromsra,12995,2012,103649,8637,-1,129,Louth,1.6L,Manual,
Citroen Berlingo,https://www.autotrader.co.uk/motorhome-details/202403267983932?sort=relevance&make=Citroen&model=Berlingo&page=1&postcode=E1%206AN&advertising-location=at_motorhomes&fromsra,13495,2001,160522,6979,-1,246,Gateshead,,,
Citroen Berlingo,https://www.autotrader.co.uk/motorhome-details/202307079397063?sort=relevance&make=Citroen&model=Berlingo&page=2&postcode=E1%206AN&advertising-location=at_motorhomes&fromsra,13745,2012,84100,7008,-1,354,Cupar,1.6L,Manual,
Citroen Berlingo,https://www.autotrader.co.uk/motorhome-details/202210180854188?sort=relevance&make=Citroen&model=Berlingo&page=2&postcode=E1%206AN&advertising-location=at_motorhomes&fromsra,13990,1993,39000,1258,5,108,Cradley Heath,1.6L,Manual,
Citroen Berlingo,https://www.autotrader.co.uk/motorhome-details/202111159593898?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&make=Citroen&model=Berlingo&page=1&postcode=E1%206AN&advertising-location=at_motorhomes&fromsra,13995,2014,39000,3900,-1,159,Northwich,1.6L,Manual,
Citroen Berlingo,https://www.autotrader.co.uk/motorhome-details/202207278190037?sort=relevance&make=Citroen&model=Berlingo&page=1&postcode=E1%206AN&advertising-location=at_motorhomes&fromsra,13995,2015,56000,6222,1,27,West Malling,1.6L,Manual,
Citroen Berlingo,https://www.autotrader.co.uk/motorhome-details/202404018171730?sort=relevance&make=Citroen&model=Berlingo&page=1&postcode=E1%206AN&advertising-location=at_motorhomes&fromsra,15995,2017,43000,6142,1,139,Rotherham,,,
Citroen Berlingo,https://www.autotrader.co.uk/motorhome-details/202402026171115?sort=relevance&make=Citroen&model=Berlingo&page=1&postcode=E1%206AN&advertising-location=at_motorhomes&fromsra,16995,2018,44000,7333,-1,139,Rotherham,,,
Citroen Berlingo,https://www.autotrader.co.uk/motorhome-details/202310142993393?sort=relevance&make=Citroen&model=Berlingo&page=1&postcode=E1%206AN&advertising-location=at_motorhomes&fromsra,16995,2012,88947,7412,-1,129,Louth,1.6L,Automatic,
Citroen Berlingo,https://www.autotrader.co.uk/motorhome-details/202401275950323?sort=relevance&make=Citroen&model=Berlingo&page=1&postcode=E1%206AN&advertising-location=at_motorhomes&fromsra,19900,2008,41284,2580,6,65,Ely,1.6L,Manual,
Citroen Berlingo,https://www.autotrader.co.uk/motorhome-details/202401245865640?sort=relevance&make=Citroen&model=Berlingo&page=1&postcode=E1%206AN&advertising-location=at_motorhomes&fromsra,19995,2008,70195,4387,-1,71,Southampton,1.6L,Manual,
Citroen Berlingo,https://www.autotrader.co.uk/motorhome-details/202403278018572?sort=relevance&make=Citroen&model=Berlingo&page=2&postcode=E1%206AN&advertising-location=at_motorhomes&fromsra,22750,2010,78800,5628,2,-1,,L:4.14m x W:1.72m x H:1.8m,Manual,
Citroen Berlingo,https://www.autotrader.co.uk/motorhome-details/202403097385285?sort=relevance&make=Citroen&model=Berlingo&page=2&postcode=E1%206AN&advertising-location=at_motorhomes&fromsra,23995,2013,124281,11298,2,-1,,1.6L,Manual,
Citroen Berlingo,https://www.autotrader.co.uk/motorhome-details/202401245867639?sort=relevance&make=Citroen&model=Berlingo&page=1&postcode=E1%206AN&advertising-location=at_motorhomes&fromsra,25000,2011,77998,5999,-1,71,Southampton,1.6L,Manual,
Citroen Berlingo,https://www.autotrader.co.uk/motorhome-details/202310193157044?sort=relevance&make=Citroen&model=Berlingo&page=2&postcode=E1%206AN&advertising-location=at_motorhomes&fromsra,26995,2018,57678,9613,1,127,Louth,1.6L,Manual,
Citroen Berlingo,https://www.autotrader.co.uk/motorhome-details/202308080552658?sort=relevance&make=Citroen&model=Berlingo&page=2&postcode=E1%206AN&advertising-location=at_motorhomes&fromsra,28995,2018,14000,2333,-1,173,Totnes,,Manual,
