name,link,price,year,mileage,miles_pa,owners,distance,location,engine,transmission,fuel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403147567845?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=1&postcode=E1%206AN&advertising-location=at_cars&fromsra,999,2009.0,121500.0,8100,3,17,Epping,1.4L,Manual,Petrol
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403247914234?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=2&postcode=E1%206AN&advertising-location=at_cars&fromsra,1395,2007.0,124000.0,7294,3,102,Birmingham,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403267982074?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=2&postcode=E1%206AN&advertising-location=at_cars&fromsra,1650,2010.0,174000.0,12428,4,46,Ashford,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403217837065?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=1&postcode=E1%206AN&advertising-location=at_cars&fromsra,1950,2011.0,206820.0,15909,3,46,Bedford,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202402086374997?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=6&postcode=E1%206AN&advertising-location=at_cars&fromsra,1995,2007.0,100000.0,5882,-1,230,Spennymoor,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403027141231?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=18&postcode=E1%206AN&advertising-location=at_cars&fromsra,2000,,,0,-1,101,Birmingham,1.5L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202402176675405?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=14&postcode=E1%206AN&advertising-location=at_cars&fromsra,2450,2007.0,107000.0,6294,2,167,Oldham,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403077317021?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=15&postcode=E1%206AN&advertising-location=at_cars&fromsra,2495,2008.0,145694.0,9105,-1,183,Blackburn,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403267973166?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=1&postcode=E1%206AN&advertising-location=at_cars&fromsra,2500,2006.0,109980.0,6110,-1,108,West Bromwich,1.6L,Manual,Petrol
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202402236888482?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=1&postcode=E1%206AN&advertising-location=at_cars&fromsra,2795,2008.0,82770.0,5173,-1,107,Rowley Regis,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403187697839?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=37&postcode=E1%206AN&advertising-location=at_cars&fromsra,2795,2008.0,156000.0,9750,2,162,Wakefield,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403137499765?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=5&postcode=E1%206AN&advertising-location=at_cars&fromsra,2995,2010.0,96000.0,6857,-1,173,Bolton,1.6L,Manual,Petrol
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202401175646496?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=6&postcode=E1%206AN&advertising-location=at_cars&fromsra,2999,2008.0,70000.0,4375,3,172,Bury,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202307189788437?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=9&postcode=E1%206AN&advertising-location=at_cars&fromsra,3495,2009.0,100230.0,6682,4,58,"St. Ives, Cambridgeshire",1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403217805753?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=10&postcode=E1%206AN&advertising-location=at_cars&fromsra,3950,2010.0,108386.0,7741,2,170,Manchester,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403237879533?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=47&postcode=E1%206AN&advertising-location=at_cars&fromsra,3950,2004.0,61000.0,3050,-1,170,Manchester,1.6L,Manual,Petrol
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202402096414005?sort=relevance&twcs=true&include-delivery-option=on&make=Citroen&model=Berlingo&page=24&postcode=E1%206AN&advertising-location=at_cars&fromsra,3995,2014.0,145000.0,14500,-1,157,Exeter,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403197746495?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=2&postcode=E1%206AN&advertising-location=at_cars&fromsra,3995,2009.0,112000.0,7466,2,170,Bradford,1.6L,Manual,Diesel
Citroen Berlingo,https://www.autotrader.co.uk/car-details/202403197738907?sort=relevance&include-delivery-option=on&make=Citroen&model=Berlingo&page=7&postcode=E1%206AN&advertising-location=at_cars&fromsra,3995,2013.0,115000.0,10454,4,184,Liverpool,1.6L,Manual,Diesel
